,gps_height,region,population,public_meeting,permit,construction_age,extraction_type_group,management,payment_type,quality_group,quantity_group,source_type,waterpoint_type_group,status_group
0,1390,Iringa,109,TRUE,FALSE,14,gravity,vwc,annually,good,enough,spring,communal standpipe,functional
1,686,Manyara,250,TRUE,TRUE,4,gravity,vwc,per bucket,good,enough,dam,communal standpipe,functional
2,263,Mtwara,58,TRUE,TRUE,27,submersible,vwc,never pay,good,dry,borehole,communal standpipe,non functional
3,1062,Ruvuma,250,TRUE,FALSE,26,swn 80,wug,on failure,good,insufficient,shallow well,hand pump,functional
4,1368,Kilimanjaro,1,TRUE,TRUE,4,gravity,water board,monthly,good,enough,spring,communal standpipe,functional
5,1645,Rukwa,200,TRUE,FALSE,22,swn 80,vwc,never pay,good,enough,borehole,hand pump,functional
6,1703,Iringa,35,TRUE,TRUE,35,gravity,wua,monthly,good,dry,river/lake,communal standpipe,non functional
7,1656,Iringa,50,TRUE,TRUE,35,gravity,wua,on failure,good,dry,river/lake,communal standpipe,non functional
8,1763,Iringa,1,TRUE,TRUE,21,gravity,vwc,annually,good,enough,spring,communal standpipe,functional
9,2216,Iringa,4,TRUE,FALSE,5,gravity,vwc,monthly,good,enough,spring,communal standpipe,functional
10,1510,Iringa,350,TRUE,TRUE,35,gravity,wua,never pay,good,enough,river/lake,communal standpipe,functional needs repair
11,672,Kilimanjaro,210,TRUE,TRUE,2,gravity,vwc,monthly,good,enough,river/lake,communal standpipe,functional
12,200,Lindi,260,FALSE,FALSE,2,india mark ii,vwc,monthly,good,enough,borehole,hand pump,functional
13,1443,Kilimanjaro,1,TRUE,TRUE,13,gravity,company,monthly,good,insufficient,spring,communal standpipe,non functional
14,1256,Kilimanjaro,1,TRUE,TRUE,11,gravity,water board,monthly,good,enough,spring,communal standpipe,functional
15,180,Pwani,150,FALSE,TRUE,9,submersible,private operator,per bucket,good,enough,river/lake,communal standpipe,functional
16,1638,Iringa,70,TRUE,FALSE,21,gravity,vwc,on failure,good,seasonal,spring,communal standpipe,functional
17,1955,Iringa,100,TRUE,TRUE,10,gravity,vwc,annually,good,enough,river/lake,communal standpipe,functional
18,710,Kilimanjaro,50,TRUE,TRUE,5,submersible,water board,per bucket,good,enough,borehole,communal standpipe,functional
19,2469,Iringa,0,TRUE,FALSE,27,gravity,vwc,on failure,good,enough,spring,communal standpipe,functional
20,1803,Iringa,250,TRUE,TRUE,2,gravity,wug,monthly,good,enough,spring,communal standpipe,functional
21,1007,Arusha,100,TRUE,TRUE,13,gravity,vwc,per bucket,good,insufficient,spring,communal standpipe,functional needs repair
22,240,Mtwara,30,TRUE,TRUE,9,gravity,vwc,per bucket,good,enough,spring,communal standpipe,functional needs repair
23,1982,Iringa,70,TRUE,TRUE,10,gravity,vwc,annually,good,enough,spring,communal standpipe,functional
24,2169,Iringa,20,TRUE,TRUE,6,gravity,vwc,annually,good,enough,spring,communal standpipe,functional
25,783,Kilimanjaro,10,TRUE,TRUE,5,gravity,water authority,per bucket,good,insufficient,spring,communal standpipe,functional
26,1545,Rukwa,200,TRUE,TRUE,40,gravity,vwc,never pay,good,dry,river/lake,communal standpipe,non functional
27,766,Kilimanjaro,1,TRUE,TRUE,5,gravity,water authority,per bucket,good,insufficient,spring,communal standpipe,non functional
28,962,Kilimanjaro,45,TRUE,TRUE,5,gravity,water board,per bucket,good,enough,spring,communal standpipe,functional
29,1583,Arusha,150,TRUE,TRUE,4,gravity,vwc,never pay,good,enough,spring,communal standpipe,non functional
30,190,Tanga,200,TRUE,FALSE,14,gravity,vwc,never pay,good,seasonal,spring,communal standpipe,functional
31,954,Kigoma,567,TRUE,TRUE,28,gravity,vwc,monthly,good,enough,river/lake,communal standpipe,functional needs repair
32,1538,Singida,225,TRUE,TRUE,9,afridev,wug,never pay,good,enough,borehole,hand pump,functional
33,1788,Iringa,50,TRUE,TRUE,3,rope pump,private operator,never pay,good,enough,borehole,hand pump,functional
34,1366,Iringa,54,TRUE,TRUE,35,gravity,wua,on failure,good,dry,river/lake,communal standpipe,non functional
35,1153,Kigoma,1,TRUE,FALSE,4,nira/tanira,vwc,on failure,good,enough,shallow well,hand pump,functional
36,2049,Iringa,75,TRUE,TRUE,5,gravity,wua,monthly,good,enough,spring,communal standpipe,functional
37,406,Tanga,900,TRUE,FALSE,21,gravity,vwc,never pay,good,dry,river/lake,communal standpipe,non functional
38,2328,Iringa,0,TRUE,FALSE,11,gravity,vwc,never pay,good,enough,spring,communal standpipe,functional
39,427,Morogoro,100,TRUE,TRUE,9,gravity,vwc,never pay,good,enough,river/lake,communal standpipe,functional needs repair
40,1701,Iringa,441,TRUE,TRUE,13,swn 80,vwc,monthly,good,enough,borehole,hand pump,functional
41,159,Pwani,20,FALSE,TRUE,5,submersible,private operator,per bucket,good,enough,river/lake,communal standpipe,non functional
42,1002,Kigoma,120,TRUE,TRUE,7,gravity,vwc,monthly,good,enough,river/lake,communal standpipe,functional needs repair
43,212,Lindi,280,TRUE,TRUE,7,india mark iii,vwc,never pay,salty,enough,borehole,hand pump,non functional
44,18,Pwani,40,TRUE,TRUE,26,submersible,vwc,monthly,good,enough,river/lake,communal standpipe,non functional
45,1560,Manyara,221,TRUE,TRUE,5,gravity,vwc,never pay,good,insufficient,spring,communal standpipe,functional
46,1471,Kigoma,950,TRUE,TRUE,6,gravity,vwc,monthly,good,enough,dam,communal standpipe,functional
47,1000,Ruvuma,0,TRUE,TRUE,35,gravity,vwc,on failure,good,enough,river/lake,communal standpipe,functional needs repair
48,1128,Singida,256,TRUE,TRUE,3,afridev,wug,never pay,good,enough,borehole,hand pump,functional
49,701,Ruvuma,1,TRUE,FALSE,2,submersible,vwc,per bucket,good,enough,borehole,communal standpipe,functional needs repair
50,1409,Kilimanjaro,75,TRUE,TRUE,14,gravity,water board,per bucket,good,enough,spring,communal standpipe,functional
51,744,Kilimanjaro,320,TRUE,TRUE,3,gravity,vwc,monthly,good,enough,spring,communal standpipe,functional
52,1428,Iringa,1,TRUE,TRUE,13,gravity,vwc,per bucket,good,dry,spring,communal standpipe,non functional
53,445,Morogoro,90,TRUE,TRUE,16,nira/tanira,vwc,never pay,good,enough,shallow well,hand pump,functional
54,1348,Manyara,1,TRUE,TRUE,9,submersible,vwc,per bucket,salty,insufficient,borehole,communal standpipe,non functional
55,2073,Iringa,0,TRUE,FALSE,13,gravity,vwc,monthly,good,enough,spring,communal standpipe,non functional
56,2050,Iringa,305,TRUE,TRUE,5,gravity,wua,monthly,good,enough,spring,communal standpipe,functional
57,1282,Tanga,1,TRUE,TRUE,5,gravity,vwc,never pay,good,enough,spring,communal standpipe,functional
58,2050,Iringa,50,TRUE,FALSE,6,gravity,vwc,on failure,good,enough,spring,communal standpipe,functional
59,11,Lindi,1,FALSE,FALSE,7,nira/tanira,vwc,per bucket,good,insufficient,shallow well,hand pump,non functional
60,471,Morogoro,150,TRUE,TRUE,9,gravity,vwc,monthly,good,enough,river/lake,communal standpipe,functional
61,1603,Iringa,40,TRUE,FALSE,3,rope pump,vwc,on failure,good,enough,borehole,hand pump,functional
62,531,Ruvuma,1,FALSE,FALSE,4,other handpump,vwc,monthly,good,enough,borehole,hand pump,non functional
63,1562,Iringa,250,TRUE,FALSE,4,nira/tanira,vwc,on failure,good,enough,borehole,hand pump,functional
64,1445,Iringa,80,TRUE,TRUE,35,gravity,wua,monthly,good,enough,river/lake,communal standpipe,functional
65,1242,Kigoma,560,TRUE,TRUE,36,gravity,water board,annually,good,enough,river/lake,communal standpipe,functional
66,262,Mtwara,36,TRUE,TRUE,9,gravity,vwc,per bucket,good,seasonal,spring,communal standpipe,functional
67,935,Ruvuma,540,TRUE,TRUE,30,gravity,vwc,on failure,good,seasonal,river/lake,communal standpipe,functional
68,823,Rukwa,300,TRUE,TRUE,41,gravity,vwc,never pay,good,dry,river/lake,communal standpipe,non functional
69,217,Pwani,12,TRUE,TRUE,3,submersible,private operator,per bucket,good,enough,river/lake,communal standpipe,functional
70,253,Morogoro,450,TRUE,TRUE,16,swn 80,vwc,monthly,good,insufficient,shallow well,hand pump,functional
71,1783,Rukwa,50,TRUE,TRUE,41,gravity,vwc,on failure,good,enough,river/lake,communal standpipe,functional
72,961,Manyara,245,TRUE,TRUE,1,nira/tanira,vwc,never pay,fluoride,enough,shallow well,hand pump,functional
