,gps_height,region,population,public_meeting,permit,construction_age,extraction_type_group,management,payment_type,quality_group,quantity_group,source_type,waterpoint_type_group,status_group,pop_categ
0,1390,Iringa,109,TRUE,FALSE,14,gravity,vwc,annually,good,enough,spring,communal standpipe,functional,Second
1,686,Manyara,250,TRUE,TRUE,4,gravity,vwc,per bucket,good,enough,dam,communal standpipe,functional,Third
2,263,Mtwara,58,TRUE,TRUE,27,submersible,vwc,never pay,good,dry,borehole,communal standpipe,non functional,Second
3,1062,Ruvuma,250,TRUE,FALSE,26,swn 80,wug,on failure,good,insufficient,shallow well,hand pump,functional,Third
4,1368,Kilimanjaro,1,TRUE,TRUE,4,gravity,water board,monthly,good,enough,spring,communal standpipe,functional,First
5,1645,Rukwa,200,TRUE,FALSE,22,swn 80,vwc,never pay,good,enough,borehole,hand pump,functional,Third
6,1703,Iringa,35,TRUE,TRUE,35,gravity,wua,monthly,good,dry,river/lake,communal standpipe,non functional,Second
7,1656,Iringa,50,TRUE,TRUE,35,gravity,wua,on failure,good,dry,river/lake,communal standpipe,non functional,Second
8,1763,Iringa,1,TRUE,TRUE,21,gravity,vwc,annually,good,enough,spring,communal standpipe,functional,First
9,2216,Iringa,4,TRUE,FALSE,5,gravity,vwc,monthly,good,enough,spring,communal standpipe,functional,First
10,1510,Iringa,350,TRUE,TRUE,35,gravity,wua,never pay,good,enough,river/lake,communal standpipe,functional needs repair,Fourth
11,672,Kilimanjaro,210,TRUE,TRUE,2,gravity,vwc,monthly,good,enough,river/lake,communal standpipe,functional,Third
12,200,Lindi,260,FALSE,FALSE,2,india mark ii,vwc,monthly,good,enough,borehole,hand pump,functional,Third
13,1443,Kilimanjaro,1,TRUE,TRUE,13,gravity,company,monthly,good,insufficient,spring,communal standpipe,non functional,First
14,1256,Kilimanjaro,1,TRUE,TRUE,11,gravity,water board,monthly,good,enough,spring,communal standpipe,functional,First
15,180,Pwani,150,FALSE,TRUE,9,submersible,private operator,per bucket,good,enough,river/lake,communal standpipe,functional,Third
16,1638,Iringa,70,TRUE,FALSE,21,gravity,vwc,on failure,good,seasonal,spring,communal standpipe,functional,Second
17,1955,Iringa,100,TRUE,TRUE,10,gravity,vwc,annually,good,enough,river/lake,communal standpipe,functional,Second
18,710,Kilimanjaro,50,TRUE,TRUE,5,submersible,water board,per bucket,good,enough,borehole,communal standpipe,functional,Second
19,2469,Iringa,0,TRUE,FALSE,27,gravity,vwc,on failure,good,enough,spring,communal standpipe,functional,First
20,1803,Iringa,250,TRUE,TRUE,2,gravity,wug,monthly,good,enough,spring,communal standpipe,functional,Third
21,1007,Arusha,100,TRUE,TRUE,13,gravity,vwc,per bucket,good,insufficient,spring,communal standpipe,functional needs repair,Second
22,240,Mtwara,30,TRUE,TRUE,9,gravity,vwc,per bucket,good,enough,spring,communal standpipe,functional needs repair,Second
23,1982,Iringa,70,TRUE,TRUE,10,gravity,vwc,annually,good,enough,spring,communal standpipe,functional,Second
24,2169,Iringa,20,TRUE,TRUE,6,gravity,vwc,annually,good,enough,spring,communal standpipe,functional,First
25,783,Kilimanjaro,10,TRUE,TRUE,5,gravity,water authority,per bucket,good,insufficient,spring,communal standpipe,functional,First
26,1545,Rukwa,200,TRUE,TRUE,40,gravity,vwc,never pay,good,dry,river/lake,communal standpipe,non functional,Third
27,766,Kilimanjaro,1,TRUE,TRUE,5,gravity,water authority,per bucket,good,insufficient,spring,communal standpipe,non functional,First
28,962,Kilimanjaro,45,TRUE,TRUE,5,gravity,water board,per bucket,good,enough,spring,communal standpipe,functional,Second
29,1583,Arusha,150,TRUE,TRUE,4,gravity,vwc,never pay,good,enough,spring,communal standpipe,non functional,Third
30,190,Tanga,200,TRUE,FALSE,14,gravity,vwc,never pay,good,seasonal,spring,communal standpipe,functional,Third
31,954,Kigoma,567,TRUE,TRUE,28,gravity,vwc,monthly,good,enough,river/lake,communal standpipe,functional needs repair,Fourth
32,1538,Singida,225,TRUE,TRUE,9,afridev,wug,never pay,good,enough,borehole,hand pump,functional,Third
33,1788,Iringa,50,TRUE,TRUE,3,rope pump,private operator,never pay,good,enough,borehole,hand pump,functional,Second
34,1366,Iringa,54,TRUE,TRUE,35,gravity,wua,on failure,good,dry,river/lake,communal standpipe,non functional,Second
35,1153,Kigoma,1,TRUE,FALSE,4,nira/tanira,vwc,on failure,good,enough,shallow well,hand pump,functional,First
36,2049,Iringa,75,TRUE,TRUE,5,gravity,wua,monthly,good,enough,spring,communal standpipe,functional,Second
37,406,Tanga,900,TRUE,FALSE,21,gravity,vwc,never pay,good,dry,river/lake,communal standpipe,non functional,Fourth
38,2328,Iringa,0,TRUE,FALSE,11,gravity,vwc,never pay,good,enough,spring,communal standpipe,functional,First
39,427,Morogoro,100,TRUE,TRUE,9,gravity,vwc,never pay,good,enough,river/lake,communal standpipe,functional needs repair,Second
40,1701,Iringa,441,TRUE,TRUE,13,swn 80,vwc,monthly,good,enough,borehole,hand pump,functional,Fourth
41,159,Pwani,20,FALSE,TRUE,5,submersible,private operator,per bucket,good,enough,river/lake,communal standpipe,non functional,First
42,1002,Kigoma,120,TRUE,TRUE,7,gravity,vwc,monthly,good,enough,river/lake,communal standpipe,functional needs repair,Second
43,212,Lindi,280,TRUE,TRUE,7,india mark iii,vwc,never pay,salty,enough,borehole,hand pump,non functional,Third
44,18,Pwani,40,TRUE,TRUE,26,submersible,vwc,monthly,good,enough,river/lake,communal standpipe,non functional,Second
45,1560,Manyara,221,TRUE,TRUE,5,gravity,vwc,never pay,good,insufficient,spring,communal standpipe,functional,Third
46,1471,Kigoma,950,TRUE,TRUE,6,gravity,vwc,monthly,good,enough,dam,communal standpipe,functional,Fourth
47,1000,Ruvuma,0,TRUE,TRUE,35,gravity,vwc,on failure,good,enough,river/lake,communal standpipe,functional needs repair,First
48,1128,Singida,256,TRUE,TRUE,3,afridev,wug,never pay,good,enough,borehole,hand pump,functional,Third
49,701,Ruvuma,1,TRUE,FALSE,2,submersible,vwc,per bucket,good,enough,borehole,communal standpipe,functional needs repair,First
50,1409,Kilimanjaro,75,TRUE,TRUE,14,gravity,water board,per bucket,good,enough,spring,communal standpipe,functional,Second
51,744,Kilimanjaro,320,TRUE,TRUE,3,gravity,vwc,monthly,good,enough,spring,communal standpipe,functional,Fourth
52,1428,Iringa,1,TRUE,TRUE,13,gravity,vwc,per bucket,good,dry,spring,communal standpipe,non functional,First
53,445,Morogoro,90,TRUE,TRUE,16,nira/tanira,vwc,never pay,good,enough,shallow well,hand pump,functional,Second
54,1348,Manyara,1,TRUE,TRUE,9,submersible,vwc,per bucket,salty,insufficient,borehole,communal standpipe,non functional,First
55,2073,Iringa,0,TRUE,FALSE,13,gravity,vwc,monthly,good,enough,spring,communal standpipe,non functional,First
56,2050,Iringa,305,TRUE,TRUE,5,gravity,wua,monthly,good,enough,spring,communal standpipe,functional,Fourth
57,1282,Tanga,1,TRUE,TRUE,5,gravity,vwc,never pay,good,enough,spring,communal standpipe,functional,First
