,gps_height,closeness_to_waterbody,population,permit,payment_type,quality_group,quantity_group,source_type,waterpoint_type_group,construction_age
0,1390,Far,109,FALSE,annually,good,enough,spring,communal standpipe,14
3,263,Near,58,TRUE,never pay,good,dry,borehole,communal standpipe,27
11,1062,Far,250,FALSE,on failure,good,insufficient,shallow well,hand pump,26
13,1368,Far,1,TRUE,monthly,good,enough,spring,communal standpipe,4
15,1645,Far,200,FALSE,never pay,good,enough,borehole,hand pump,22
16,1703,Far,35,TRUE,monthly,good,dry,river/lake,communal standpipe,35
17,1656,Far,50,TRUE,on failure,good,dry,river/lake,communal standpipe,35
19,1763,Far,1,TRUE,annually,good,enough,spring,communal standpipe,21
20,2216,Far,4,FALSE,monthly,good,enough,spring,communal standpipe,5
22,1510,Far,350,TRUE,never pay,good,enough,river/lake,communal standpipe,35
23,672,Far,210,TRUE,monthly,good,enough,river/lake,communal standpipe,2
26,200,Near,260,FALSE,monthly,good,enough,borehole,hand pump,2
28,1443,Far,1,TRUE,monthly,good,insufficient,spring,communal standpipe,13
29,1256,Far,1,TRUE,monthly,good,enough,spring,communal standpipe,11
31,180,Near,150,TRUE,per bucket,good,enough,river/lake,communal standpipe,9
33,1638,Far,70,FALSE,on failure,good,seasonal,spring,communal standpipe,21
38,1955,Far,100,TRUE,annually,good,enough,river/lake,communal standpipe,10
40,710,Far,50,TRUE,per bucket,good,enough,borehole,communal standpipe,5
41,2469,Far,0,FALSE,on failure,good,enough,spring,communal standpipe,27
42,1803,Far,250,TRUE,monthly,good,enough,spring,communal standpipe,2
44,1007,Far,100,TRUE,per bucket,good,insufficient,spring,communal standpipe,13
46,240,Near,30,TRUE,per bucket,good,enough,spring,communal standpipe,9
48,1982,Far,70,TRUE,annually,good,enough,spring,communal standpipe,10
49,2169,Far,20,TRUE,annually,good,enough,spring,communal standpipe,6
50,783,Far,10,TRUE,per bucket,good,insufficient,spring,communal standpipe,5
51,1545,Far,200,TRUE,never pay,good,dry,river/lake,communal standpipe,40
55,766,Far,1,TRUE,per bucket,good,insufficient,spring,communal standpipe,5
56,962,Far,45,TRUE,per bucket,good,enough,spring,communal standpipe,5
57,1583,Far,150,TRUE,never pay,good,enough,spring,communal standpipe,4
58,1703,Near,456,TRUE,never pay,good,enough,shallow well,hand pump,13
60,190,Near,200,FALSE,never pay,good,seasonal,spring,communal standpipe,14
62,954,Near,567,TRUE,monthly,good,enough,river/lake,communal standpipe,28
64,1538,Near,225,TRUE,never pay,good,enough,borehole,hand pump,9
66,1788,Far,50,TRUE,never pay,good,enough,borehole,hand pump,3
68,1366,Far,54,TRUE,on failure,good,dry,river/lake,communal standpipe,35
70,303,Far,280,TRUE,monthly,other,insufficient,shallow well,hand pump,18
74,1153,Near,1,FALSE,on failure,good,enough,shallow well,hand pump,4
76,2049,Far,75,TRUE,monthly,good,enough,spring,communal standpipe,5
78,406,Near,900,FALSE,never pay,good,dry,river/lake,communal standpipe,21
80,2328,Far,0,FALSE,never pay,good,enough,spring,communal standpipe,11
81,427,Far,100,TRUE,never pay,good,enough,river/lake,communal standpipe,9
86,1701,Far,441,TRUE,monthly,good,enough,borehole,hand pump,13
88,159,Near,20,TRUE,per bucket,good,enough,river/lake,communal standpipe,5
90,1002,Near,120,TRUE,monthly,good,enough,river/lake,communal standpipe,7
91,212,Near,280,TRUE,never pay,salty,enough,borehole,hand pump,7
92,18,Near,40,TRUE,monthly,good,enough,river/lake,communal standpipe,26
93,1560,Near,221,TRUE,never pay,good,insufficient,spring,communal standpipe,5
98,1000,Far,0,TRUE,on failure,good,enough,river/lake,communal standpipe,35
101,1128,Near,256,TRUE,never pay,good,enough,borehole,hand pump,3
103,701,Far,1,FALSE,per bucket,good,enough,borehole,communal standpipe,2
104,1409,Far,75,TRUE,per bucket,good,enough,spring,communal standpipe,14
105,744,Far,320,TRUE,monthly,good,enough,spring,communal standpipe,3
108,1428,Far,1,TRUE,per bucket,good,dry,spring,communal standpipe,13
116,445,Far,90,TRUE,never pay,good,enough,shallow well,hand pump,16
119,1348,Near,1,TRUE,per bucket,salty,insufficient,borehole,communal standpipe,9
120,2073,Far,0,FALSE,monthly,good,enough,spring,communal standpipe,13
127,2050,Far,305,TRUE,monthly,good,enough,spring,communal standpipe,5
134,1282,Near,1,TRUE,never pay,good,enough,spring,communal standpipe,5
135,2050,Far,50,FALSE,on failure,good,enough,spring,communal standpipe,6
137,11,Near,1,FALSE,per bucket,good,insufficient,shallow well,hand pump,7
141,471,Far,150,TRUE,monthly,good,enough,river/lake,communal standpipe,9
144,350,Far,1,TRUE,never pay,other,dry,borehole,communal standpipe,41
147,1603,Far,40,FALSE,on failure,good,enough,borehole,hand pump,3
155,531,Far,1,FALSE,monthly,good,enough,borehole,hand pump,4
159,101,Near,1,FALSE,never pay,good,enough,borehole,hand pump,3
160,1562,Far,250,FALSE,on failure,good,enough,borehole,hand pump,4
162,1445,Far,80,TRUE,monthly,good,enough,river/lake,communal standpipe,35
163,1242,Near,560,TRUE,annually,good,enough,river/lake,communal standpipe,36
169,262,Near,36,TRUE,per bucket,good,seasonal,spring,communal standpipe,9
170,935,Far,540,TRUE,on failure,good,seasonal,river/lake,communal standpipe,30
171,823,Far,300,TRUE,never pay,good,dry,river/lake,communal standpipe,41
172,217,Near,12,TRUE,per bucket,good,enough,river/lake,communal standpipe,3
173,253,Far,450,TRUE,monthly,good,insufficient,shallow well,hand pump,16
175,1783,Far,50,TRUE,on failure,good,enough,river/lake,communal standpipe,41
176,961,Near,245,TRUE,never pay,other,enough,shallow well,hand pump,1
179,183,Near,600,FALSE,never pay,good,seasonal,spring,communal standpipe,5
180,1592,Far,1,TRUE,monthly,good,enough,spring,communal standpipe,29
183,1485,Far,59,FALSE,never pay,good,enough,borehole,hand pump,27
185,1823,Far,1,TRUE,never pay,good,enough,borehole,hand pump,4
191,1705,Far,0,TRUE,never pay,good,enough,shallow well,hand pump,13
193,128,Near,50,TRUE,per bucket,good,enough,river/lake,communal standpipe,3
194,1768,Far,25,TRUE,monthly,good,enough,river/lake,communal standpipe,26
195,232,Near,150,TRUE,per bucket,good,enough,borehole,communal standpipe,2
196,1567,Far,500,TRUE,annually,good,insufficient,spring,communal standpipe,35
197,1607,Far,1,TRUE,monthly,good,insufficient,spring,communal standpipe,51
198,1135,Far,100,TRUE,per bucket,good,enough,river/lake,communal standpipe,35
202,1768,Far,40,FALSE,monthly,good,enough,borehole,hand pump,3
203,1593,Far,40,FALSE,on failure,good,enough,borehole,hand pump,4
209,1685,Far,200,TRUE,per bucket,good,enough,river/lake,communal standpipe,4
212,1232,Far,100,TRUE,never pay,good,enough,borehole,hand pump,28
214,1055,Far,450,TRUE,monthly,good,insufficient,spring,communal standpipe,2
216,744,Far,1,TRUE,monthly,good,insufficient,spring,communal standpipe,37
218,1897,Far,150,TRUE,on failure,good,enough,spring,communal standpipe,13
221,1661,Far,140,TRUE,never pay,good,insufficient,spring,communal standpipe,11
223,1071,Near,570,TRUE,monthly,good,insufficient,river/lake,communal standpipe,8
224,120,Near,1,TRUE,never pay,good,insufficient,river/lake,communal standpipe,25
226,966,Far,700,TRUE,never pay,good,enough,shallow well,hand pump,17
230,0,Near,120,TRUE,per bucket,good,insufficient,shallow well,hand pump,14
231,1281,Near,350,TRUE,never pay,good,insufficient,river/lake,communal standpipe,31
233,508,Near,630,FALSE,per bucket,good,insufficient,spring,communal standpipe,7
234,1556,Near,270,TRUE,never pay,good,dry,spring,communal standpipe,5
237,373,Far,1,TRUE,monthly,good,enough,river/lake,communal standpipe,8
240,1261,Far,250,TRUE,per bucket,good,enough,borehole,communal standpipe,7
