,region
0,Iringa
3,Mtwara
11,Ruvuma
13,Kilimanjaro
15,Rukwa
16,Iringa
17,Iringa
19,Iringa
20,Iringa
22,Iringa
23,Kilimanjaro
26,Lindi
28,Kilimanjaro
29,Kilimanjaro
31,Pwani
33,Iringa
38,Iringa
40,Kilimanjaro
41,Iringa
42,Iringa
44,Arusha
46,Mtwara
48,Iringa
49,Iringa
50,Kilimanjaro
51,Rukwa
55,Kilimanjaro
56,Kilimanjaro
57,Arusha
58,Manyara
60,Tanga
62,Kigoma
64,Singida
66,Iringa
68,Iringa
70,Morogoro
74,Kigoma
76,Iringa
78,Tanga
80,Iringa
81,Morogoro
86,Iringa
88,Pwani
90,Kigoma
91,Lindi
92,Pwani
93,Manyara
98,Ruvuma
101,Singida
103,Ruvuma
104,Kilimanjaro
105,Kilimanjaro
108,Iringa
116,Morogoro
119,Manyara
120,Iringa
127,Iringa
134,Tanga
135,Iringa
137,Lindi
141,Morogoro
144,Morogoro
147,Iringa
155,Ruvuma
159,Lindi
160,Iringa
162,Iringa
163,Kigoma
169,Mtwara
170,Ruvuma
171,Rukwa
172,Pwani
173,Morogoro
175,Rukwa
176,Manyara
179,Tanga
180,Iringa
183,Rukwa
185,Iringa
191,Iringa
193,Pwani
194,Iringa
195,Mtwara
196,Kilimanjaro
197,Kilimanjaro
198,Mara
202,Iringa
203,Iringa
209,Arusha
212,Rukwa
214,Kilimanjaro
216,Kilimanjaro
218,Arusha
221,Kilimanjaro
223,Kigoma
224,Pwani
226,Morogoro
230,Tanga
231,Mwanza
233,Mtwara
234,Manyara
237,Morogoro
240,Morogoro
244,Iringa
246,Iringa
247,Tanga
248,Kilimanjaro
249,Pwani
250,Iringa
251,Mtwara
252,Kilimanjaro
254,Iringa
258,Iringa
261,Singida
269,Mtwara
276,Morogoro
278,Kilimanjaro
279,Rukwa
280,Kigoma
283,Arusha
284,Kigoma
288,Rukwa
290,Morogoro
291,Singida
293,Arusha
296,Mtwara
299,Mtwara
308,Manyara
310,Ruvuma
314,Pwani
316,Rukwa
318,Tanga
325,Rukwa
327,Kigoma
328,Ruvuma
331,Iringa
335,Ruvuma
337,Iringa
338,Morogoro
339,Rukwa
341,Morogoro
343,Arusha
344,Manyara
348,Ruvuma
349,Morogoro
350,Mtwara
351,Manyara
353,Kigoma
356,Arusha
359,Arusha
362,Iringa
364,Kigoma
365,Morogoro
369,Morogoro
371,Arusha
372,Morogoro
373,Ruvuma
374,Iringa
375,Pwani
376,Ruvuma
378,Ruvuma
380,Kilimanjaro
381,Kilimanjaro
382,Arusha
383,Shinyanga
384,Morogoro
385,Ruvuma
388,Arusha
389,Iringa
392,Iringa
395,Kilimanjaro
396,Iringa
398,Ruvuma
399,Morogoro
401,Arusha
407,Iringa
408,Morogoro
409,Ruvuma
410,Rukwa
414,Kilimanjaro
415,Iringa
417,Dar es Salaam
418,Ruvuma
419,Morogoro
420,Kilimanjaro
421,Kilimanjaro
422,Pwani
424,Pwani
430,Kilimanjaro
432,Manyara
435,Kilimanjaro
442,Morogoro
444,Morogoro
448,Kigoma
450,Mtwara
452,Iringa
455,Mtwara
456,Morogoro
457,Iringa
